id,name,dob,registered_date,phone,country
38,Ninetales,1990-04-30T05:28:10.636Z,2019-03-29T20:58:18.142Z,,UA
39,Jigglypuff,1949-02-02T19:54:23.943Z,2003-09-04T13:21:22.526Z,783236294,CH
40,Wigglytuff,1990-09-07T22:22:43.053Z,2006-02-04T03:25:34.623Z,9949332303,IR
41,Zubat,1971-06-08T12:49:09.446Z,2017-01-26T21:07:04.790Z,4985021748,BR
42,Golbat,1945-11-23T13:00:03.251Z,2004-10-06T00:13:05.236Z,986350411,AU
43,Oddish,1950-04-11T21:09:01.991Z,2020-02-22T08:40:50.007Z,8793540987,IR
44,Gloom,1956-11-05T03:39:16.475Z,2011-04-17T09:00:10.591Z,75793946,NO
45,Vileplume,1977-08-31T14:01:44.712Z,2007-08-05T14:00:48.564Z,3612012,FI
46,Paras,1968-10-07T17:35:00.753Z,2014-07-19T09:51:33.011Z,2717071843,BR
47,Parasect,1995-05-11T22:27:26.973Z,2007-06-18T02:31:41.327Z,1697318991,GB
48,Venonat,1986-06-19T09:42:46.018Z,2014-03-05T16:45:03.361Z,9660108706,IN
49,Venomoth,1974-02-03T19:44:57.415Z,2012-06-29T01:47:28.964Z,2217188616,TR
50,Diglett,1978-06-09T20:15:01.397Z,2018-05-30T03:51:59.452Z,2123596234,US
51,Dugtrio,1966-08-04T08:41:48.780Z,2020-11-04T08:18:38.262Z,1706370187,GB
52,Meowth,1965-11-03T13:45:31.697Z,2007-07-02T04:21:09.332Z,,CA
53,Persian,1978-10-19T20:15:46.660Z,2003-06-23T16:14:53.456Z,,CA
54,Psyduck,1955-02-02T03:30:20.891Z,2004-03-04T04:39:13.154Z,512693429,IE
55,Golduck,1963-09-02T01:32:26.472Z,2016-05-02T07:05:39.928Z,772625115,CH
56,Mankey,1951-11-10T02:59:27.458Z,2013-10-11T18:42:47.674Z,9579898565,NZ
57,Primeape,1948-11-11T02:16:57.919Z,2017-05-04T16:44:03.717Z,,UA
58,Growlithe,1983-06-25T15:33:27.812Z,2015-10-01T19:08:13.349Z,2444275827,TR
59,Arcanine,1953-07-17T11:32:08.422Z,2005-06-07T02:32:57.678Z,8598474007,IR
60,Poliwag,1996-08-21T15:31:19.217Z,2021-09-05T00:50:06.376Z,204130594,AU
61,Poliwhirl,1956-11-02T00:19:56.586Z,2018-10-25T00:03:16.229Z,1773051984,DE
62,Poliwrath,1974-01-24T01:17:28.999Z,2003-10-22T02:53:59.678Z,78980732,NO
63,Abra,1977-12-13T06:04:12.567Z,2012-12-11T16:58:47.952Z,199448286,RS
64,Kadabra,1996-08-20T15:44:14.125Z,2002-09-14T15:53:46.387Z,9257554634,TR
65,Alakazam,1994-07-08T03:14:38.973Z,2007-10-29T01:42:06.867Z,716274654,IE
66,Machop,1995-07-17T14:57:28.488Z,2003-10-07T09:54:28.875Z,988569926,ES
67,Machoke,1986-08-26T19:28:14.287Z,2012-11-06T10:12:43.318Z,1539540766,GB
68,Machamp,1978-03-02T11:04:24.573Z,2018-07-30T17:55:44.588Z,398178035,RS
69,Bellsprout,1995-10-12T01:20:32.582Z,2016-10-18T18:01:09.209Z,2578046,FI
70,Weepinbell,1988-12-18T01:45:02.129Z,2012-02-05T03:41:05.876Z,9732696,FI
71,Victreebel,1949-04-10T03:20:00.264Z,2007-03-10T23:05:47.385Z,4375677922,US
72,Tentacool,1987-11-18T02:34:06.866Z,2002-06-22T00:35:11.588Z,,CA
73,Tentacruel,1983-05-01T04:54:48.252Z,2008-03-08T09:03:45.214Z,718891562,IE
74,Geodude,1985-12-16T02:31:47.463Z,2011-09-07T22:34:06.355Z,413422061,IE
75,Graveler,1989-01-29T19:11:48.118Z,2020-08-25T03:10:06.180Z,133694083,NL
76,Golem,1948-06-01T03:25:18.759Z,2011-08-18T05:53:55.304Z,86441574,NO
77,Ponyta,1997-04-10T21:42:30.806Z,2013-01-10T19:19:10.805Z,718987747,IE
78,Rapidash,1989-06-29T09:43:35.769Z,2008-12-27T12:11:39.533Z,391528120,NL
79,Slowpoke,1994-10-11T18:48:03.102Z,2014-11-09T11:39:50.665Z,,CA
80,Slowbro,1965-08-16T14:23:25.223Z,2012-05-01T11:56:48.140Z,789249000,CH
81,Magnemite,1987-06-22T20:53:29.401Z,2018-02-12T00:31:32.582Z,3180032285,TR
82,Magneton,1973-03-29T19:32:23.167Z,2019-04-07T11:53:17.093Z,784641841,CH
83,Farfetchd,1987-11-14T06:24:55.191Z,2010-06-04T14:43:18.963Z,966951647,ES
84,Doduo,1970-06-07T08:02:50.868Z,2008-10-31T20:51:25.469Z,982633504,ES
85,Dodrio,1988-01-13T05:00:47.984Z,2014-01-08T20:41:06.178Z,,CA
86,Seel,1996-07-26T14:06:15.812Z,2009-06-02T04:21:55.773Z,111258435,RS
87,Dewgong,1981-03-16T18:50:24.319Z,2021-11-09T02:22:55.771Z,7388425054,IN
88,Grimer,1991-01-12T01:37:50.788Z,2004-04-02T23:54:24.372Z,25160914,DK
89,Muk,1990-09-21T11:07:51.721Z,2021-06-30T01:27:00.193Z,1451603300,IR
90,Shellder,1963-12-26T22:51:39.855Z,2013-06-14T15:56:02.362Z,1843253901,DE
91,Cloyster,1996-05-06T08:28:11.214Z,2006-09-30T14:43:40.928Z,6473727354,NZ
92,Gastly,1945-05-05T20:34:30.740Z,2009-05-19T08:23:20.405Z,3293951409,US
93,Haunter,1986-04-27T16:16:58.831Z,2012-06-24T08:44:15.501Z,,UA
94,Gengar,1988-05-17T16:20:02.512Z,2004-02-17T12:33:43.213Z,1387309783,GB
95,Onix,1952-03-31T02:23:01.662Z,2006-11-11T05:56:38.245Z,7517465941,IR
96,Drowzee,1955-01-30T04:31:44.265Z,2012-07-31T02:44:12.854Z,1697347465,GB
97,Hypno,1984-10-15T13:04:19.052Z,2017-05-02T03:57:04.441Z,6225252090,MX
98,Krabby,1997-12-27T12:31:25.140Z,2005-01-31T12:45:26.743Z,679244732,TR
99,Kingler,1970-08-11T04:09:12.721Z,2007-01-13T02:58:41.843Z,3931174519,BR
100,Voltorb,1946-01-28T11:33:24.165Z,2019-09-15T03:40:47.331Z,58344952,NO
101,Electrode,1945-07-01T04:31:34.497Z,2020-11-12T07:34:21.264Z,1697411256,GB
102,Exeggcute,1975-04-17T23:43:02.110Z,2009-10-17T08:22:39.985Z,4366494892,NZ
103,Exeggutor,1993-08-31T22:55:35.854Z,2017-07-23T09:22:51.870Z,39962107,DK
104,Cubone,1966-09-16T06:09:05.336Z,2005-06-02T20:21:09.245Z,961298897,ES
105,Marowak,1955-03-10T23:25:10.747Z,2008-03-13T03:34:00.628Z,989387855,ES
106,Hitmonlee,1991-03-07T03:26:18.462Z,2014-10-15T05:51:44.303Z,44598094,DK
107,Hitmonchan,1965-01-30T07:23:58.340Z,2010-07-19T06:24:39.784Z,635363082,NL
108,Lickitung,1977-01-31T08:05:18.871Z,2006-02-01T06:40:58.357Z,6254400930,MX
109,Koffing,1960-09-01T02:13:31.351Z,2022-03-01T07:36:55.050Z,5907402,FI
110,Weezing,1991-06-23T07:09:49.144Z,2008-09-26T09:28:22.438Z,460459566,NL
111,Rhyhorn,1989-10-21T02:07:44.309Z,2019-12-08T02:24:02.627Z,481246769,DE
112,Rhydon,1959-01-07T10:21:02.763Z,2007-07-07T08:45:42.334Z,1697718618,GB
113,Chansey,1951-01-26T10:07:13.272Z,2021-09-07T02:13:14.472Z,353711119,FR
114,Tangela,1974-12-06T11:41:08.914Z,2008-07-12T10:43:40.652Z,941275689,ES
115,Kangaskhan,1949-07-22T01:35:42.606Z,2007-12-06T20:54:27.798Z,8257053767,IR
116,Horsea,1991-12-30T16:16:47.349Z,2017-03-26T23:20:09.916Z,8016973187,US
117,Seadra,1945-02-25T20:00:53.543Z,2012-09-21T11:00:42.035Z,413610088,AU
118,Goldeen,1948-11-13T14:17:58.178Z,2016-04-05T22:43:36.327Z,964627297,ES
119,Seaking,1988-08-07T16:12:40.289Z,2004-10-20T06:07:10.380Z,13326529,DK
120,Staryu,1978-01-21T05:52:30.799Z,2013-10-01T12:04:20.971Z,,CA
121,Starmie,1973-10-15T13:21:37.186Z,2014-03-19T04:40:45.707Z,569640776,NL
122,Mr-mime,1983-10-07T14:53:53.780Z,2021-04-03T16:42:59.373Z,764300497,CH
123,Scyther,1967-04-30T21:51:23.143Z,2017-05-13T00:18:21.613Z,9168419,FI
124,Jynx,1968-05-31T03:36:25.120Z,2012-09-30T02:30:04.834Z,93484830,NL
125,Electabuzz,1978-11-15T21:36:41.855Z,2009-10-17T09:15:05.340Z,9398930613,BR
126,Magmar,1983-02-27T10:58:59.956Z,2008-10-15T09:28:34.315Z,5298103536,IR
127,Pinsir,1977-11-14T01:21:51.877Z,2017-04-30T18:28:44.679Z,7017138,FI
128,Tauros,1968-04-24T23:57:23.652Z,2010-06-30T20:19:57.626Z,5218090855,US
129,Magikarp,1958-08-28T01:39:21.001Z,2016-05-25T19:49:28.652Z,7069212,FI
130,Gyarados,1999-10-16T18:39:32.242Z,2011-02-22T02:37:01.837Z,991241598,IR
131,Lapras,1980-05-30T15:15:55.130Z,2005-02-13T14:23:41.965Z,787494631,CH
132,Ditto,1950-04-26T05:27:17.834Z,2012-05-15T02:47:58.583Z,7330654209,NZ
133,Eevee,1987-04-29T08:15:25.349Z,2022-03-07T22:32:31.745Z,937226922,ES
134,Vaporeon,1969-05-25T19:45:18.171Z,2021-06-20T09:44:36.400Z,493666312,NL
135,Jolteon,1980-04-11T04:31:38.116Z,2011-09-04T10:54:01.569Z,2781663913,IR
136,Flareon,1975-03-05T09:57:29.958Z,2020-05-03T14:53:32.884Z,9762164506,NZ
137,Porygon,1984-02-19T21:11:13.782Z,2004-10-05T21:20:11.300Z,514139582,IE
138,Omanyte,1961-01-22T08:46:16.469Z,2007-02-24T02:39:59.425Z,2727440935,GB
139,Omastar,1992-06-10T21:01:48.650Z,2010-05-25T05:46:27.509Z,1617731397,GB
140,Kabuto,1970-05-22T11:48:16.171Z,2016-06-12T10:48:33.554Z,30752183,NO
141,Kabutops,1968-09-12T23:28:37.913Z,2020-08-13T22:47:13.363Z,8292444770,IN
142,Aerodactyl,1968-07-17T09:06:19.226Z,2004-01-04T17:04:24.003Z,1539576458,GB
143,Snorlax,1978-12-30T05:49:08.229Z,2004-05-23T21:05:24.976Z,35828184,NO
144,Articuno,1986-02-04T12:11:06.923Z,2011-04-05T09:13:00.766Z,52434972,DK
145,Zapdos,1983-09-19T22:40:01.911Z,2013-06-18T04:09:50.676Z,1946769615,GB
146,Moltres,1971-04-29T07:29:40.703Z,2018-05-30T08:11:45.704Z,190434394,RS
147,Dratini,1975-08-26T23:37:22.548Z,2017-03-26T08:08:58.190Z,,CA
148,Dragonair,1979-02-19T11:11:35.372Z,2013-12-21T14:32:21.602Z,4278362581,NZ
149,Dragonite,1953-10-02T23:07:34.449Z,2002-12-01T08:46:19.992Z,8816127114,US
150,Mewtwo,1987-11-10T04:31:36.428Z,2008-01-19T11:17:23.453Z,169618534,RS
151,Mew,1964-03-19T19:40:06.429Z,2009-01-07T22:39:12.129Z,709740563,AU
152,Chikorita,1995-03-30T05:21:34.547Z,2006-09-06T23:42:36.233Z,678873505,AU
153,Bayleef,1950-03-28T15:45:22.947Z,2011-03-11T18:45:05.403Z,5587451064,IR
154,Meganium,1991-05-09T18:27:14.028Z,2019-10-03T23:12:39.181Z,7947433352,US
155,Cyndaquil,1963-05-07T22:14:18.666Z,2015-04-09T17:35:03.796Z,563141966,FR
156,Quilava,1949-11-02T16:36:46.088Z,2016-07-20T17:41:04.939Z,9563022459,BR
157,Typhlosion,1956-03-24T11:14:44.770Z,2006-11-08T00:30:16.511Z,5214288871,US
158,Totodile,1969-03-13T07:05:53.555Z,2020-07-27T07:28:50.910Z,610713999,IE
159,Croconaw,1949-04-23T23:41:01.706Z,2012-02-06T01:05:16.777Z,5561764159,NZ
160,Feraligatr,1975-08-27T21:23:23.982Z,2003-12-07T20:10:10.477Z,764214059,CH
161,Sentret,1972-10-01T05:15:25.776Z,2017-12-03T15:57:43.927Z,2385865958,TR
162,Furret,1970-05-27T05:49:03.731Z,2012-02-12T06:16:48.382Z,6554859,FI
163,Hoothoot,1960-08-29T14:35:09.744Z,2004-10-19T21:55:04.449Z,165821062,RS
164,Noctowl,1952-04-05T11:01:46.799Z,2017-02-21T23:08:05.235Z,,CA
165,Ledyba,1981-04-25T21:48:42.965Z,2018-05-21T15:48:06.078Z,144135653,RS
166,Ledian,1968-09-08T04:04:20.688Z,2011-02-25T11:33:32.414Z,9311462,FI
167,Spinarak,1969-06-14T20:01:46.088Z,2018-10-07T00:08:45.983Z,52615042,DK
168,Ariados,1973-12-22T03:49:43.249Z,2002-07-25T13:28:01.793Z,1022554317,GB
169,Crobat,1971-12-03T08:54:05.539Z,2018-02-18T06:36:02.154Z,395313156,RS
170,Chinchou,1974-07-23T19:04:58.683Z,2007-11-28T08:31:10.203Z,5599707335,US
171,Lanturn,1977-12-15T16:57:07.696Z,2003-06-23T08:24:04.848Z,414536508,IE
172,Pichu,1965-04-02T04:58:52.865Z,2012-10-28T10:37:16.573Z,3016218545,TR
173,Cleffa,1997-04-26T12:51:16.613Z,2015-08-16T16:44:30.671Z,12621217,DK
174,Igglybuff,1975-11-15T09:36:09.658Z,2018-01-31T16:39:38.367Z,4284094050,TR
175,Togepi,1969-06-23T14:43:59.172Z,2015-02-07T08:51:07.714Z,,CA
176,Togetic,1974-03-24T07:27:42.487Z,2004-06-27T05:06:19.336Z,2958223190,US
177,Natu,1982-09-10T13:28:26.339Z,2006-03-04T08:00:48.715Z,4347237087,US
178,Xatu,2000-06-03T03:04:49.986Z,2009-06-10T00:19:56.284Z,2396307654,US
179,Mareep,1956-06-16T23:05:36.414Z,2004-04-16T05:59:59.735Z,,CA
180,Flaaffy,1971-11-24T11:03:21.616Z,2013-10-23T00:08:31.241Z,8429223188,DE
181,Ampharos,1988-06-13T06:35:13.425Z,2015-08-10T14:19:08.029Z,8304791978,IN
182,Bellossom,1984-05-08T03:25:29.638Z,2019-03-20T20:50:49.557Z,6514125457,MX
183,Marill,1945-05-08T21:08:58.075Z,2019-04-30T01:29:00.386Z,674669818,BR
184,Azumarill,1953-06-28T15:37:30.824Z,2004-11-27T14:45:35.178Z,517568242,AU
185,Sudowoodo,1968-12-06T20:48:19.325Z,2008-02-02T14:21:49.292Z,,CA
186,Politoed,1967-06-21T10:55:15.424Z,2005-01-16T09:34:23.686Z,622167408,AU
187,Hoppip,1946-02-26T00:27:44.548Z,2018-04-16T00:52:14.852Z,6374178,FI
188,Skiploom,1963-07-15T01:32:30.985Z,2020-06-19T03:00:00.606Z,751078774,CH
189,Jumpluff,1995-03-09T08:43:08.220Z,2020-07-08T06:26:46.834Z,952558796,NL
190,Aipom,1996-04-16T09:42:57.938Z,2012-06-13T08:39:49.482Z,795364819,CH
191,Sunkern,1977-04-21T02:34:05.340Z,2008-04-16T19:45:30.052Z,,UA
192,Sunflora,1998-08-20T17:39:25.264Z,2014-03-09T00:33:13.370Z,9532752972,DE
193,Yanma,1949-03-07T13:11:00.667Z,2005-09-07T00:03:31.149Z,51955442,DK
194,Wooper,1977-06-18T20:01:27.940Z,2014-12-06T01:55:56.345Z,10400601,DK
195,Quagsire,1952-08-08T22:32:57.768Z,2003-03-03T06:48:34.106Z,32810887,NO
196,Espeon,1949-01-02T09:25:24.536Z,2004-11-08T20:12:20.154Z,315850617,FR
197,Umbreon,1945-07-29T15:19:56.806Z,2004-07-10T07:42:31.807Z,236754723,RS
198,Murkrow,1954-06-24T09:20:49.011Z,2010-06-30T22:48:38.879Z,535947336,FR
199,Slowking,1987-04-10T03:39:26.648Z,2015-10-20T17:49:46.675Z,931965560,ES
200,Misdreavus,1979-12-19T08:54:14.328Z,2019-05-16T18:32:16.709Z,128942801,FR
201,Unown,1978-09-13T02:06:41.768Z,2003-12-26T00:43:04.207Z,214865442,IE
202,Wobbuffet,1952-04-14T12:54:58.889Z,2005-05-11T06:50:13.524Z,,UA
203,Girafarig,1955-05-20T01:56:12.166Z,2010-05-31T04:45:36.257Z,798896322,CH
204,Pineco,1997-10-16T03:48:21.213Z,2012-07-14T10:27:00.779Z,3163157082,US
205,Forretress,1956-04-19T06:08:17.843Z,2019-11-27T06:58:51.676Z,783112900,CH
206,Dunsparce,1993-12-25T13:18:21.803Z,2012-03-31T13:11:50.061Z,9473114026,US
207,Gligar,1960-04-04T11:15:16.020Z,2013-04-08T22:38:09.309Z,395520326,FR
208,Steelix,1967-04-25T00:26:40.710Z,2011-05-21T05:27:37.737Z,900205100,ES
209,Snubbull,1947-02-21T04:03:26.286Z,2004-08-23T05:20:29.063Z,6970887173,MX
210,Granbull,1974-07-20T02:49:25.559Z,2017-10-25T04:45:11.513Z,952756432,ES
211,Qwilfish,1994-11-23T01:15:30.554Z,2005-08-06T13:02:35.212Z,,UA
212,Scizor,1998-05-21T09:15:23.892Z,2004-08-22T06:03:27.473Z,6135871606,MX
213,Shuckle,1979-11-05T16:18:37.275Z,2006-03-21T00:25:52.170Z,348970231,RS
214,Heracross,1975-03-16T03:41:01.556Z,2009-05-03T04:05:10.349Z,7929887514,IN
215,Sneasel,1977-07-18T04:42:57.462Z,2014-12-28T16:17:57.375Z,613737008,IE
216,Teddiursa,1949-03-16T18:52:47.718Z,2012-01-12T03:28:56.335Z,6502296809,MX
217,Ursaring,1978-01-05T10:15:29.262Z,2022-01-20T23:50:30.899Z,6230053742,MX
218,Slugma,1984-09-30T15:01:22.926Z,2009-01-03T06:07:52.502Z,8058730923,DE
219,Magcargo,1966-08-12T02:21:17.088Z,2020-09-14T12:56:31.322Z,244930835,FR
220,Swinub,1964-01-15T14:34:31.647Z,2018-05-20T22:48:18.031Z,756530597,CH
221,Piloswine,1986-08-29T19:42:57.285Z,2005-05-17T17:01:43.279Z,3962699065,US
222,Corsola,1992-09-03T07:11:40.156Z,2015-05-05T16:25:00.792Z,770778397,CH
223,Remoraid,1959-03-14T02:16:06.750Z,2011-10-28T03:54:07.792Z,276688016,AU
224,Octillery,1995-07-12T04:51:05.977Z,2015-10-28T03:36:23.975Z,763764684,CH
225,Delibird,1947-06-03T07:21:44.104Z,2015-11-16T12:02:29.812Z,83578509,AU
226,Mantine,1988-09-22T22:23:29.476Z,2010-05-17T17:01:47.060Z,635196598,AU
227,Skarmory,1994-11-11T13:19:12.953Z,2006-07-12T12:30:45.362Z,8595434672,IN
228,Houndour,1992-08-12T16:09:27.266Z,2012-08-22T09:06:44.830Z,789926690,CH
229,Houndoom,1984-02-28T14:11:14.166Z,2002-11-10T23:23:22.767Z,518702368,IE
230,Kingdra,1977-01-09T06:57:56.447Z,2011-09-09T23:15:36.428Z,397078622,AU
231,Phanpy,1997-04-30T08:10:03.224Z,2011-01-11T02:00:07.975Z,4639686999,BR
232,Donphan,1962-01-03T21:31:17.736Z,2015-11-16T03:37:11.280Z,6532226147,BR
233,Porygon2,1988-11-19T19:57:29.705Z,2002-09-07T11:14:24.673Z,913436940,ES
234,Stantler,1975-02-26T00:58:58.983Z,2009-01-21T02:54:01.615Z,,CA
235,Smeargle,1999-05-08T18:55:40.260Z,2008-09-21T23:52:10.692Z,4854444545,TR
236,Tyrogue,1991-08-12T17:24:02.880Z,2006-09-30T16:17:02.356Z,94824357,DK
237,Hitmontop,1945-09-24T22:30:33.950Z,2014-01-15T14:40:59.717Z,989896066,ES
238,Smoochum,1948-03-05T17:56:06.238Z,2016-01-29T12:42:27.351Z,9814290683,TR
239,Elekid,1949-01-20T04:17:29.870Z,2009-12-28T05:28:30.709Z,4391206096,NZ
240,Magby,1982-01-23T10:27:25.925Z,2018-03-28T17:04:55.189Z,,GB
241,Miltank,1977-12-04T22:24:37.774Z,2017-11-03T21:42:23.059Z,7980465054,IN
242,Blissey,1944-10-21T21:51:36.031Z,2014-11-09T19:13:34.093Z,6989340931,MX
243,Raikou,1983-02-19T23:48:16.839Z,2004-07-25T22:37:19.765Z,6134943951,NZ
244,Entei,1959-01-11T04:12:16.170Z,2005-09-22T14:09:32.247Z,142424367,AU
245,Suicune,1959-05-18T01:32:59.962Z,2020-12-26T16:05:47.325Z,,UA
246,Larvitar,1963-03-19T04:02:05.950Z,2017-12-19T06:49:05.100Z,32976520,NO
247,Pupitar,1956-11-24T15:10:11.700Z,2014-05-24T01:29:12.552Z,85916469,NL
248,Tyranitar,1984-01-23T08:36:40.571Z,2019-08-20T03:56:41.215Z,421009895,FR
249,Lugia,1950-11-22T14:05:47.086Z,2020-06-30T11:25:10.334Z,4045839431,IR
250,Ho-oh,1996-09-06T05:11:24.681Z,2004-11-03T00:38:51.209Z,9888993275,IN
251,Celebi,1970-11-06T07:06:29.472Z,2010-02-01T02:31:10.573Z,3741715,FI
252,Treecko,1986-04-20T15:13:17.426Z,2017-08-15T15:48:47.324Z,4325650887,BR
253,Grovyle,1995-06-15T00:54:44.959Z,2014-09-19T11:55:56.516Z,1009758326,IR
254,Sceptile,1985-08-14T17:07:03.593Z,2012-12-02T12:09:43.626Z,611215557,IE
255,Torchic,1983-12-31T19:38:00.716Z,2020-02-07T09:42:44.375Z,6304320022,MX
256,Combusken,1960-08-03T06:49:59.086Z,2012-11-29T15:30:01.899Z,7121107,FI
257,Blaziken,1992-01-31T09:19:41.376Z,2007-01-06T16:14:56.165Z,5413462432,US
258,Mudkip,1985-12-07T01:27:54.549Z,2006-05-21T20:46:06.527Z,2034015787,NZ
259,Marshtomp,1984-05-14T09:25:10.350Z,2008-07-15T03:34:06.508Z,919207904,ES
260,Swampert,1996-08-06T14:18:19.674Z,2018-09-23T18:29:26.633Z,,CA
261,Poochyena,1951-12-02T14:25:57.208Z,2010-07-03T03:44:13.231Z,779744777,CH
262,Mightyena,1987-11-12T13:18:08.878Z,2012-07-30T05:24:10.243Z,1697310495,GB
263,Zigzagoon,1963-04-30T14:00:33.718Z,2009-08-01T04:50:30.450Z,,CA
264,Linoone,1951-03-27T08:24:08.017Z,2018-12-21T12:08:50.380Z,9266288360,IN
265,Wurmple,1988-07-04T05:09:41.904Z,2012-01-17T17:25:14.595Z,3412188430,BR
266,Silcoon,1991-12-29T20:01:52.632Z,2018-09-19T20:22:52.933Z,715565149,IE
267,Beautifly,1946-08-14T06:04:55.502Z,2009-08-12T07:19:12.681Z,9237132732,NZ
268,Cascoon,1949-06-28T15:20:10.299Z,2007-03-15T07:34:48.973Z,416372513,IE
269,Dustox,1995-06-10T14:10:09.171Z,2022-02-16T13:10:32.729Z,517809506,IE
270,Lotad,1969-10-16T22:39:12.490Z,2011-01-14T00:09:37.525Z,4354041106,BR
271,Lombre,1952-03-03T05:40:19.870Z,2015-10-29T00:29:28.178Z,9150615102,NZ
272,Ludicolo,1985-03-27T04:31:33.105Z,2012-03-24T02:58:06.053Z,8402296305,US
273,Seedot,1997-06-24T10:46:15.743Z,2013-07-12T20:50:31.041Z,131122931,RS
274,Nuzleaf,1960-09-06T05:04:17.120Z,2005-01-06T05:53:41.604Z,4086026,FI
275,Shiftry,1977-11-20T11:45:12.251Z,2010-06-13T12:49:47.543Z,20804915,NO
276,Taillow,1996-01-21T04:06:17.161Z,2008-07-20T05:20:40.604Z,8145020388,US
277,Swellow,1978-11-17T23:28:04.019Z,2018-07-08T16:21:18.798Z,549192404,AU
278,Wingull,1993-09-26T01:12:14.884Z,2019-11-24T05:54:28.863Z,180011859,RS
279,Pelipper,1953-02-24T16:42:56.175Z,2017-01-02T09:38:43.740Z,2313054820,IR
280,Ralts,1978-07-30T01:07:47.113Z,2005-08-08T04:27:51.079Z,3851463998,TR
281,Kirlia,1964-08-12T03:58:09.236Z,2013-02-12T03:40:49.228Z,120904545,FR
282,Gardevoir,1990-12-18T13:49:05.073Z,2018-03-23T21:10:16.433Z,4552695484,DE
283,Surskit,1963-10-19T00:25:08.290Z,2015-04-20T07:14:18.722Z,3553473361,NZ
284,Masquerain,1986-09-12T20:29:32.652Z,2019-06-29T17:30:59.256Z,2706434820,NZ
285,Shroomish,1990-05-15T05:29:16.522Z,2016-10-20T21:44:40.940Z,136397218,AU
